timestamp,cpu,memory,disk_read,disk_write,event
1764965284.1440508,19.5,62.0,1408303550464,716857671680,
1764965285.1455085,58.1,64.8,1408303796224,716857671680,
1764965286.1464236,43.2,64.8,1408303927296,716857991168,
1764965287.1475449,27.7,65.7,1408307138560,716858171392,
1764965288.1484246,14.1,66.5,1408308531200,716864962560,
1764965289.1490712,52.6,68.4,1408309833728,716864962560,
1764965290.150285,22.6,67.9,1408310718464,716864962560,
1764965291.151418,30.0,69.1,1408310800384,716864962560,
1764965292.1524184,49.3,71.0,1408312569856,716865560576,
1764965293.1535232,35.6,70.2,1408313462784,716865822720,
1764965294.1543164,28.6,70.7,1408314142720,716865839104,
1764965295.1551242,28.9,72.0,1408314888192,716865871872,
1764965296.1566575,21.6,70.7,1408315109376,716865871872,
1764965297.157867,32.5,72.7,1408315256832,716866125824,
1764965298.1592917,42.4,76.0,1408315256832,716866199552,
1764965299.1605613,67.4,77.9,1408315256832,716866199552,
1764965300.161881,45.2,77.4,1408315256832,716866199552,
1764965301.1630673,38.8,78.1,1408315256832,716866199552,
1764965302.1642337,52.8,79.7,1408315281408,716866764800,
1764965303.1653936,58.9,80.1,1408315281408,716873203712,
1764965304.1667511,38.8,80.6,1408315412480,716873203712,
1764965305.1680465,39.0,81.3,1408315412480,716873203712,
1764965306.1691372,57.3,83.7,1408315420672,716873203712,
1764965307.170198,56.5,86.8,1408315437056,716879216640,
1764965308.1709776,42.7,88.8,1408315674624,716881141760,
1764965309.1718109,47.8,89.3,1408319361024,716886368256,
1764965310.1733863,63.0,91.7,1408351629312,716935479296,
1764965311.1744301,63.2,91.0,1408398249984,716975153152,
1764965312.1758928,47.8,89.3,1408405327872,716991602688,
1764965313.1769662,41.3,90.7,1408412512256,716998164480,
1764965314.178353,56.3,89.3,1408468963328,716999262208,
1764965315.1792464,50.6,88.3,1408486289408,716999548928,
1764965316.1803703,39.0,88.3,1408491163648,716999573504,
1764965317.1813147,31.7,69.6,1408506941440,716999573504,
1764965318.1821487,54.0,67.9,1408541306880,716999573504,
1764965319.1833618,44.9,69.6,1408547442688,716999573504,
1764965320.1845343,38.4,70.6,1408548343808,717000392704,
1764965321.1856284,53.6,73.1,1408556437504,717000392704,
1764965322.1865802,65.3,74.2,1408561696768,717000392704,
1764965323.187994,38.9,73.1,1408566218752,717000392704,
1764965324.189518,38.8,74.9,1408580333568,717000392704,
1764965325.1906524,67.5,76.9,1408583880704,717000597504,
1764965326.1917925,57.0,76.4,1408592564224,717000597504,
1764965327.1931267,37.8,77.5,1408619499520,717000597504,
1764965328.1943429,41.8,78.5,1408636121088,717000597504,
1764965329.1978855,69.3,81.2,1408643010560,717055000576,
1764965330.199101,49.0,83.0,1408646877184,717055475712,
1764965331.2002084,37.5,86.1,1408661655552,717055475712,
1764965332.2014415,44.8,88.3,1408661925888,717055475712,
1764965333.2025914,54.5,88.6,1408662032384,717055475712,
1764965334.2040381,38.7,89.2,1408662425600,717055475712,
1764965335.2050266,38.0,88.9,1408662441984,717055614976,
1764965336.2062309,62.0,77.4,1408662523904,717055614976,
1764965337.2074046,45.9,69.2,1408662573056,717055614976,
1764965338.2085714,41.7,71.1,1408663932928,717055614976,
1764965339.2109208,49.0,73.4,1408664793088,717055614976,
1764965340.211552,65.9,74.3,1408664793088,717056327680,
1764965341.212709,39.3,73.7,1408665096192,717056352256,
1764965342.2133899,37.6,74.4,1408665104384,717056352256,
1764965343.2144485,57.2,76.6,1408668241920,717056655360,
1764965344.2155526,52.9,77.1,1408668413952,717056655360,
1764965345.2166443,37.0,78.3,1408668479488,717056655360,
1764965346.217725,41.6,79.6,1408668561408,717056663552,
1764965347.2185316,65.1,81.7,1408669372416,717056712704,
1764965348.2194407,43.7,83.2,1408677343232,717057024000,
1764965349.2206306,38.9,85.9,1408677384192,717057024000,
1764965350.2215624,50.8,88.3,1408683479040,717057024000,
1764965351.2227051,51.1,87.5,1408685977600,717057171456,
1764965352.2238815,37.8,84.8,1408686329856,717057171456,
1764965353.2249198,40.6,78.5,1408686329856,717057171456,
1764965354.2258615,66.0,72.0,1408686862336,717057548288,
1764965355.2270203,46.5,68.7,1408686878720,717121708032,
1764965356.2280834,36.4,69.9,1408732434432,717121708032,
1764965357.2292233,46.7,72.8,1408732508160,717121708032,
1764965358.2306552,58.8,72.4,1408732508160,717121708032,
1764965359.231606,36.0,73.6,1408732524544,717122461696,
1764965360.2322316,35.8,74.5,1408732524544,717122461696,
1764965361.2333982,64.8,76.8,1408732598272,717122486272,
1764965362.2346065,42.9,76.6,1408733073408,717122486272,
1764965363.235717,38.6,77.6,1408758067200,717122486272,
1764965364.2366602,47.2,81.5,1408763088896,717122838528,
1764965365.237663,59.1,82.7,1408765693952,717122838528,
1764965366.2387526,34.4,84.7,1408765693952,717122846720,
1764965367.239846,35.0,84.3,1408772870144,717122846720,
1764965368.2410648,58.9,82.4,1408772870144,717122846720,
1764965369.2422597,40.5,78.3,1408772870144,717123223552,
1764965370.243046,34.8,70.7,1408772870144,717123223552,
1764965371.2443187,48.9,70.3,1408772870144,717123223552,
1764965372.2454116,55.3,70.6,1408772870144,717123223552,
1764965373.2463946,34.3,71.7,1408772870144,717123223552,
1764965374.2475517,37.2,73.1,1408772870144,717123854336,
1764965375.2484663,65.5,75.3,1408772870144,717123854336,
1764965376.2494195,42.2,75.2,1408772870144,717123854336,
1764965377.2506278,34.5,76.2,1408772870144,717123854336,
1764965378.2514834,50.8,77.7,1408772886528,717123895296,
1764965379.2522132,64.2,79.2,1408772919296,717124190208,
1764965380.2534175,36.4,80.7,1408775163904,717154295808,
1764965381.2545726,35.3,83.2,1408779538432,717154295808,
1764965382.2552962,57.6,85.9,1408779538432,717154295808,
1764965383.2564201,45.9,86.3,1408783749120,717154295808,
1764965384.2576048,35.5,76.9,1408785780736,717154902016,
1764965385.2585485,47.6,78.8,1408785780736,717154902016,
1764965386.2596817,59.9,75.3,1408785928192,717154902016,
1764965387.2608433,35.2,69.4,1408785928192,717154902016,
1764965388.261841,35.9,70.5,1408785928192,717154902016,
1764965389.2628772,63.7,73.1,1408786157568,717154902016,
1764965390.2640684,49.4,72.9,1408786157568,717155598336,
1764965391.2651763,35.6,73.7,1408786157568,717155598336,
1764965392.2677956,46.4,75.6,1408786444288,717155598336,
1764965393.2685232,64.8,77.6,1408786673664,717155598336,
1764965394.2696607,37.3,77.4,1408786673664,717155598336,
1764965395.2708905,36.7,79.0,1408789090304,717155917824,
1764965396.2718728,59.2,82.1,1408793358336,717155917824,
1764965397.2732348,49.6,82.6,1408795758592,717155917824,
1764965398.2745984,37.7,84.3,1408795758592,717155917824,
1764965399.2753677,40.4,85.6,1408797650944,717155917824,
1764965400.2760713,65.8,78.5,1408801804288,717156220928,
1764965401.277339,39.1,77.6,1408805564416,717196484608,
1764965402.2785213,35.0,77.2,1408805564416,717196509184,
1764965403.2812083,55.7,74.0,1408806703104,717196509184,
1764965404.2823434,55.3,71.0,1408807489536,717196509184,
1764965405.2836573,36.7,72.7,1408807710720,717197524992,
1764965406.2846599,38.5,74.1,1408807743488,717197524992,
1764965407.2856174,68.3,76.0,1408808751104,717197533184,
1764965408.2867472,42.5,75.4,1408809930752,717197533184,
1764965409.2881536,36.6,76.8,1408809955328,717197533184,
1764965410.2890356,48.8,79.4,1408809955328,717197869056,
1764965411.2902298,58.7,80.3,1408811765760,717197869056,
1764965412.2914746,36.9,81.7,1408813584384,717197869056,
1764965413.2921283,36.9,83.1,1408815427584,717197869056,
1764965414.2930355,60.0,85.4,1408815427584,717197869056,
1764965415.2941892,42.3,80.5,1408819032064,717198196736,
1764965416.2953355,36.1,78.6,1408820826112,717198196736,
1764965417.296497,51.3,80.9,1408820908032,717198196736,
1764965418.2975826,59.1,81.6,1408821317632,717198196736,
1764965419.2987924,37.5,71.1,1408821383168,717198196736,
1764965420.299657,36.7,71.9,1408821391360,717198901248,
1764965421.3009756,66.1,73.9,1408821407744,717235216384,
1764965422.3021498,43.6,74.2,1408821407744,717235216384,
1764965423.3033779,35.8,75.1,1408821645312,717236158464,
1764965424.3043373,49.3,77.2,1408821661696,717236158464,
1764965425.305514,57.8,77.1,1408821661696,717236158464,
1764965426.3067756,35.6,79.8,1408823562240,717236158464,
1764965427.3076684,36.8,81.5,1408825307136,717236158464,
1764965428.3085628,60.4,83.6,1408825307136,717236551680,
1764965429.3096666,42.2,80.6,1408825323520,717236551680,
1764965430.3107169,36.0,78.4,1408828805120,717236551680,
1764965431.3119102,51.4,82.0,1408832253952,717236551680,
