Cores,Dataset,Executor Memory,cpu usage,memory usage,runtime,throughput,scalability
1,toy,128 MB,0.23,805,25.58,1419456,1
2,toy,128 MB,0.2,1296,8.75,3797883,2.92
4,toy,128 MB,0.6,2084,8.01,4149944,3.19
8,toy,128 MB,0,2445,4.89,6827669,5.23
1,small,128 MB,0.15,1021,233.36,1489910,1
2,small,128 MB,10.24,1507,83.14,4162868,2.81
4,small,128 MB,10.65,1908,57.63,6016300,4.05
8,small,128 MB,11.78,2298,52.13,6670609,4.48
1,toy,8 GB,0.15,792,16.63,2168056,1
2,toy,8 GB,0.3,1451,7.48,4433613,2.22
4,toy,8 GB,0,2016.3,4.54,7316560,3.67
8,toy,8 GB,0.3,2428,5.1,6533138,3.25
1,small,8 GB,0.13,956,131,2660816,1
2,small,8 GB,0.08,1483,80.61,4285207,1.63
4,small,8 GB,0.1,1872,55.82,6190504,2.35
8,small,8 GB,0.1,2308,46.78,7388273,2.96
