dataset,cores,runtime_seconds,avg_cpu,avg_mem,throughput_words_per_sec,speedup_vs_1_core,initialization overhead
toy,1,16.63,0.15,792,2168056,1,1.44
toy,2,7.48,0.3,1451,4433613,2.22,0.05
toy,3,5.64,0.3,1877,5880101,2.95,0.04
toy,4,4.54,0,2016.3,7316560,3.67,0.03
toy,8,5.1,0.3,2428,6533138,3.25,0.03
small,1,131,0.13,956,2660816,1,1.8
small,2,80.61,0.08,1483,4285207,1.63,0.3
small,3,64.65,0.08,1710,5341023,2.03,0.18
small,4,55.82,0.1,1872,6190504,2.35,0.19
small,8,46.78,0.1,2308,7388272,2.96,0.17
medium,1,721,0.13,1325,3270335,1,3.96
medium,2,446.86,0.06,1860,5259451,1.61,1.26
medium,3,361.48,0.07,3357,6505366,1.99,1.23
medium,4,336.1,0.09,3886,6997954,2.14,1.2
medium,8,273.54,0.12,4084,8602162,2.62,1.09
